cluster_id,bc_unitType,presenceRatio
587,MUA,1.0
588,NOISE,1.0
589,NOISE,1.0
590,MUA,0.0384615384615384
591,NOISE,1.0
592,NOISE,1.0
593,NOISE,1.0
594,NOISE,1.0
595,NOISE,1.0
596,NOISE,1.0
597,NOISE,1.0
598,NOISE,1.0
599,NOISE,0.9871794871794872
600,MUA,0.141025641025641
601,NON-SOMA,1.0
602,NON-SOMA,1.0
603,NOISE,1.0
604,NOISE,1.0
605,NOISE,1.0
606,MUA,0.1794871794871795
607,NOISE,0.6153846153846154
608,NON-SOMA,0.1538461538461538
609,NOISE,1.0
610,NON-SOMA,1.0
611,NOISE,1.0
612,MUA,0.1666666666666666
613,NON-SOMA,1.0
614,NOISE,1.0
615,NON-SOMA,1.0
616,NOISE,1.0
617,NOISE,1.0
618,NOISE,1.0
619,NOISE,1.0
620,NOISE,1.0
621,NOISE,1.0
622,NOISE,1.0
623,NOISE,1.0
624,NOISE,1.0
625,NOISE,1.0
626,NOISE,1.0
627,NON-SOMA,0.1794871794871795
628,NON-SOMA,0.1666666666666666
629,NOISE,1.0
630,NOISE,0.717948717948718
631,NOISE,1.0
632,NON-SOMA,0.3846153846153846
633,NOISE,1.0
634,NOISE,1.0
635,NOISE,0.1153846153846153
636,NOISE,1.0
637,NOISE,1.0
638,NON-SOMA,0.1282051282051282
639,NON-SOMA,1.0
640,NOISE,1.0
641,NON-SOMA,1.0
642,NOISE,0.1666666666666666
643,NOISE,1.0
644,NOISE,0.9743589743589745
645,NOISE,1.0
646,MUA,1.0
647,MUA,0.2051282051282051
648,NOISE,1.0
649,NOISE,0.1666666666666666
650,NOISE,0.0641025641025641
651,NOISE,1.0
652,NOISE,1.0
653,MUA,1.0
654,NON-SOMA,0.1282051282051282
655,NOISE,1.0
656,NOISE,1.0
657,NOISE,0.9871794871794872
658,NOISE,1.0
