"","area","structure_id_path"
"156","AUD","/997/8/567/688/695/315/247/1018/520/"
"157","AUD","/997/8/567/688/695/315/247/1018/598/"
"158","Cortex","/997/8/567/688/695/315/669/"
"159","Cortex","/997/8/567/688/695/315/669/801/"
"160","Cortex","/997/8/567/688/695/315/669/561/"
"161","Cortex","/997/8/567/688/695/315/669/913/"
"162","Cortex","/997/8/567/688/695/315/669/937/"
"163","Cortex","/997/8/567/688/695/315/669/457/"
"164","Cortex","/997/8/567/688/695/315/669/497/"
"165","Cortex","/997/8/567/688/695/315/669/402/"
"166","Cortex","/997/8/567/688/695/315/669/402/1074/"
"167","Cortex","/997/8/567/688/695/315/669/402/905/"
"168","Cortex","/997/8/567/688/695/315/669/402/1114/"
"169","Cortex","/997/8/567/688/695/315/669/402/233/"
"170","Cortex","/997/8/567/688/695/315/669/402/601/"
"171","Cortex","/997/8/567/688/695/315/669/402/649/"
"172","Cortex","/997/8/567/688/695/315/669/394/"
"173","Cortex","/997/8/567/688/695/315/669/394/281/"
"174","Cortex","/997/8/567/688/695/315/669/394/1066/"
"175","Cortex","/997/8/567/688/695/315/669/394/401/"
"176","Cortex","/997/8/567/688/695/315/669/394/433/"
"177","Cortex","/997/8/567/688/695/315/669/394/1046/"
"178","Cortex","/997/8/567/688/695/315/669/394/441/"
"179","Cortex","/997/8/567/688/695/315/669/409/"
"180","Cortex","/997/8/567/688/695/315/669/409/421/"
"181","Cortex","/997/8/567/688/695/315/669/409/973/"
"182","Cortex","/997/8/567/688/695/315/669/409/573/"
"183","Cortex","/997/8/567/688/695/315/669/409/613/"
"184","Cortex","/997/8/567/688/695/315/669/409/74/"
"185","Cortex","/997/8/567/688/695/315/669/409/121/"
"186","Cortex","/997/8/567/688/695/315/669/385/"
"187","Cortex","/997/8/567/688/695/315/669/385/593/"
"188","Cortex","/997/8/567/688/695/315/669/385/821/"
"189","Cortex","/997/8/567/688/695/315/669/385/721/"
"190","Cortex","/997/8/567/688/695/315/669/385/778/"
"191","Cortex","/997/8/567/688/695/315/669/385/33/"
"192","Cortex","/997/8/567/688/695/315/669/385/305/"
"193","Cortex","/997/8/567/688/695/315/669/425/"
"194","Cortex","/997/8/567/688/695/315/669/425/750/"
"195","Cortex","/997/8/567/688/695/315/669/425/269/"
"196","Cortex","/997/8/567/688/695/315/669/425/869/"
"197","Cortex","/997/8/567/688/695/315/669/425/902/"
"198","Cortex","/997/8/567/688/695/315/669/425/377/"
"199","Cortex","/997/8/567/688/695/315/669/425/393/"
"200","Cortex","/997/8/567/688/695/315/669/533/"
"201","Cortex","/997/8/567/688/695/315/669/533/805/"
"202","Cortex","/997/8/567/688/695/315/669/533/41/"
"203","Cortex","/997/8/567/688/695/315/669/533/501/"
"204","Cortex","/997/8/567/688/695/315/669/533/565/"
"205","Cortex","/997/8/567/688/695/315/669/533/257/"
"206","Cortex","/997/8/567/688/695/315/669/533/469/"
"207","Cortex","/997/8/567/688/695/315/669/312782574/"
"208","Cortex","/997/8/567/688/695/315/669/312782574/312782578/"
"209","Cortex","/997/8/567/688/695/315/669/312782574/312782582/"
"210","Cortex","/997/8/567/688/695/315/669/312782574/312782586/"
"211","Cortex","/997/8/567/688/695/315/669/312782574/312782590/"
"212","Cortex","/997/8/567/688/695/315/669/312782574/312782594/"
"213","Cortex","/997/8/567/688/695/315/669/312782574/312782598/"
"214","Cortex","/997/8/567/688/695/315/669/312782628/"
"215","Cortex","/997/8/567/688/695/315/669/312782628/312782632/"
"216","Cortex","/997/8/567/688/695/315/669/312782628/312782636/"
"217","Cortex","/997/8/567/688/695/315/669/312782628/312782640/"
"218","Cortex","/997/8/567/688/695/315/669/312782628/312782644/"
"219","Cortex","/997/8/567/688/695/315/669/312782628/312782648/"
"220","Cortex","/997/8/567/688/695/315/669/312782628/312782652/"
"221","Cortex","/997/8/567/688/695/315/31/"
"222","Cortex","/997/8/567/688/695/315/31/572/"
